BaseForm,PastSimple,PastParticiple,Translation
Abide,Abode,Abode,Sopportare
Arise,Arose,Arisen,Sorgere
Awake,Awoke,Awoken,Svegliarsi
Be,Was,Been,Essere
Bear,Bore,Borne,Sopportare
Beat,Beat,Beaten,Battere
Become,Became,Become,Diventare
Befall,Befell,Befallen,Accadere
Beget,Begot,Begotten,Procreare
Begin,Began,Begun,Cominciare
Behold,Beheld,Beheld,Vedere
Bend,Bent,Bent,Curvare
Bereave,Bereft,Bereft,Privare
Beseech,Besought,Besought,Supplicare
Bestride,Bestrode,Bestridden,Stare a cavalcioni di
Bet,Bet,Bet,Scommettere
Bid,Bid,Bid,Fare un’offerta
Bind,Bound,Bound,Legare
Bite,Bit,Bitten,Mordere
Bleed,Bled,Bled,Sanguinare
Blow,Blew,Blown,Soffiare
Break,Broke,Broken,Rompere
Breed,Bred,Bred,Allevare
Bring,Brought,Brought,Portare
Broadcast,Broadcast,Broadcast,Trasmettere
Build,Built,Built,Costruire
Burn,Burnt,Burnt,Bruciare
Burst,Burst,Burst,Esplodere
Buy,Bought,Bought,Comprare
Cast,Cast,Cast,Gettare
Catch,Caught,Caught,Prendere
Chide,Chid,Chidden,Sgridare
Choose,Chose,Chosen,Scegliere
Cleave,Cleft,Cleft,Fendere
Cling,Clung,Clung,Aggrapparsi
Clothe,Clad,Clad,Vestire
Come,Came,Come,Venire
Cost,Cost,Cost,Costare
Creep,Crept,Crept,Strisciare
Cut,Cut,Cut,Tagliare
Deal,Dealt,Dealt,Trattare
Dig,Dug,Dug,Scavare
Do,Did,Done,Fare
Draw,Drew,Drawn,Disegnare
Dream,Dreamt,Dreamt,Sognare
Drink,Drank,Drunk,Bere
Drive,Drove,Driven,Guidare
Dwell,Dwelt,Dwelt,Dimorare
Eat,Ate,Eaten,Mangiare
Fall,Fell,Fallen,Cadere
Feed,Fed,Fed,Nutrire
Feel,Felt,Felt,Sentire
Fight,Fought,Fought,Combattere
Find,Found,Found,Trovare
Flee,Fled,Fled,Fuggire
Fling,Flung,Flung,Lanciare
Fly,Flew,Flown,Volare
Forbear,Forebore,Foreborne,Astenersi
Forbid,Forbade,Forbidden,Proibire
Forecast,Forecast,Forecast,Prevedere
Forego,Forewent,Foregone,Rinunciarea
Forget,Forgot,Forgotten,Dimenticare
Forgive,Forgave,Forgiven,Perdonare
Forsake,Forsook,Forsaken,Rinunciare
Freeze,Froze,Frozen,Congelare
Gainsay,Gainsaid,Gainsaid,Contraddire
Get,Got,Gotten,Ottenere
Gild,Gilt,Gilt,Dorare
Give,Gave,Given,Dare
Go,Went,Gone,Andare
Grind,Ground,Ground,Macinare
Grow,Grew,Grown,Crescere
Hang,Hung,Hung,Appendere
Have,Had,Had,Avere
Hear,Heard,Heard,Sentire
Heave,Hove,Hove,Sollevare di peso
Hide,Hid,Hidden,Nascondere
Hit,Hit,Hit,Colpire
Hold,Held,Held,Tenere
Hurt,Hurt,Hurt,Ferire
Inlay,Inlaid,Inlaid,Intarsiare
Keep,Kept,Kept,Conservare
Kneel,Knelt,Knelt,Inginocchiarsi
Knit,Knit,Knit,Lavorare a maglia
Know,Knew,Known,Sapere
Lade,Laded,Laden,Caricare
Lay,Laid,Laid,Stendere
Lead,Led,Led,Condurre
Lean,Leant,Leant,Pendere
Leap,Leapt,Leapt,Saltare
Learn,Learnt,Learnt,Imparare
Leave,Left,Left,Lasciare
Lend,Lent,Lent,Prestare
Let,Let,Let,Permettere
Lie,Lay,Lain,Mentire
Light,Lit,Lit,Illuminare
Lose,Lost,Lost,Perdere
Make,Made,Made,Fare
Mean,Meant,Meant,Significare
Meet,Met,Met,Incontrare
Mislay,Mislaid,Mislaid,Smarrire
Mislead,Misled,Misled,Ingannare
Mistake,Mistook,Mistaken,Confondere
Mow,Mowed,Mowed,Falciare
Overcome,Overcame,Overcome,Superare
Pay,Paid,Paid,Pagare
Put,Put,Put,Mettere
Quit,Quit,Quit,Smettere
Read,Read,Read,Leggere
Rend,Rent,Rent,Lacerare
Rid,Rid,Rid,Sbarazzare
Ride,Rode,Ridden,Cavalcare
Ring,Rang,Rung,Squillare
Rise,Rose,Risen,Aumentare
Run,Ran,Run,Correre
Saw,Sawed,Sawed,Segare
Say,Said,Said,Dire
See,Saw,Seen,Vedere
Seek,Sought,Sought,Cercare
Sell,Sold,Sold,Vendere
Send,Sent,Sent,Mandare
Set,Set,Set,Fissare
Sew,Sewed,Sewed,Cucire
Shake,Shook,Shaken,Scuotere
Shave,Shaved,Shaved,Radere
Shear,Sheared,Sheared,Tosare
Shed,Shed,Shed,Diffondere
Shine,Shone,Shone,Brillare
Shoe,Shod,Shod,Ferrare
Shoot,Shot,Shot,Sparare
Show,Showed,Shown,Mostrare
Shrink,Shrank,Shrunk,Restringersi
Shrive,Shrove,Shrove,Confessarsi
Shut,Shut,Shut,Chiudere
Sing,Sang,Sung,Cantare
Sink,Sank,Sunk,Affondare
Sit,Sat,Sat,Sedersi
Slay,Slew,Slain,Uccidere
Sleep,Slept,Slept,Dormire
Slide,Slid,Slid,Scivolare
Sling,Slung,Slung,Tirare
Slink,Slunk,Slunk,Camminare furtivamente
Slit,Slit,Slit,Tagliare
Smell,Smelt,Smelt,Sentire odore
Sow,Sowed,Sowed,Seminare
Speak,Spoke,Spoken,Parlare
Speed,Sped,Sped,Accelerare
Spell,Spelt,Spelt,Compitare
Spend,Spent,Spent,Spendere
Spill,Spilt,Spilt,Versare
Spin,Span,Spun,Ruotare
Spit,Spat,Spat,Sputare
Split,Split,Split,Spaccare
Spoil,Spoilt,Spoilt,Guastare
Spread,Spread,Spread,Diffondere
Spring,Sprang,Sprung,Balzare
Stand,Stood,Stood,Stare in piedi
Stave,Stove,Stove,Sfondare
Steal,Stole,Stolen,Rubare
Stick,Stuck,Stuck,Appiccicare
Sting,Stung,Stung,Pungere
Stink,Stank,Stunk,Puzzare
Strew,Strewed,Strewn,Spargere
Stride,Strode,Stridden,Camminare a grandi passi
Strike,Struck,Struck,Colpire
String,Strung,Strung,Incordare
Strive,Strove,Striven,Sforzarsi
Swear,Swore,Sworn,Giurare
Sweat,Sweat,Sweat,Sudare
Sweep,Swept,Swept,Spazzare
Swell,Swelled,Swollen,Gonfiare
Swim,Swam,Swum,Nuotare
Swing,Swung,Swung,Oscillare
Take,Took,Taken,Prendere
Teach,Taught,Taught,Insegnare
Tear,Tore,Torn,Strappare
Tell,Told,Told,Dire
Think,Thought,Thought,Pensare
Thrive,Throve,Thriven,Prosperare
Throw,Threw,Thrown,Lanciare
Thrust,Thrust,Thrust,Conficcare
Tread,Trod,Trod,Calpestare
Undergo,Underwent,Undergone,Subire
Understand,Understood,Understood,Capire
Undertake,Undertook,Undertaken,Intraprendere
Upset,Upset,Upset,Preoccupare
Wake up,Woke up,Woke up,Svegliarsi
Wear,Wore,Worn,Indossare
Weave,Wove,Woven,Tessere
Weep,Wept,Wept,Piangere
Wet,Wet,Wet,Bagnare
Win,Won,Won,Vincere
Wind,Wound,Wound,Avvolgere
Withdraw,Withdrew,Withdrawn,Ritirare
Withhold,Withheld,Withheld,Negare
Withstand,Withstood,Withstood,Resisterea
Wring,Wrung,Wrung,Torcere
Write,Wrote,Written,Scrivere
